"id","pokemon_id","move_id"
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,1,24
25,1,25
26,1,26
27,1,27
28,1,28
29,1,29
30,1,30
31,1,31
32,1,32
33,1,33
34,1,34
35,1,35
36,1,36
37,1,37
38,1,38
39,1,39
40,1,40
41,1,41
42,1,42
43,1,43
44,1,44
45,1,45
46,1,46
47,1,47
48,1,48
49,1,49
50,1,50
51,1,51
52,1,52
53,1,53
54,1,54
55,1,55
56,1,56
57,1,57
58,1,58
59,1,59
60,1,60
61,1,61
62,1,62
63,1,63
64,1,64
65,1,65
66,1,66
67,1,67
68,1,68
69,1,69
70,1,70
71,1,71
72,1,72
73,1,73
74,1,74
75,1,75
76,1,76
77,1,77
78,1,78
79,1,79
80,1,80
81,1,81
82,1,82
83,1,83
84,1,84
85,1,85
86,1,86
87,2,2
88,2,3
89,2,4
90,2,5
91,2,6
92,2,7
93,2,8
94,2,9
95,2,10
96,2,11
97,2,87
98,2,12
99,2,13
100,2,14
101,2,15
102,2,16
103,2,17
104,2,18
105,2,19
106,2,20
107,2,21
108,2,22
109,2,23
110,2,24
111,2,25
112,2,26
113,2,27
114,2,28
115,2,29
116,2,32
117,2,33
118,2,34
119,2,35
120,2,36
121,2,37
122,2,38
123,2,39
124,2,40
125,2,41
126,2,42
127,2,43
128,2,44
129,2,45
130,2,46
131,2,47
132,2,48
133,2,49
134,2,50
135,2,51
136,2,52
137,2,53
138,2,54
139,2,55
140,2,56
141,2,57
142,2,58
143,2,59
144,2,60
145,2,61
146,2,62
147,2,63
148,2,64
149,2,66
150,2,67
151,2,68
152,2,69
153,2,70
154,2,71
155,2,72
156,2,73
157,2,74
158,2,75
159,2,76
160,2,77
161,2,78
162,2,79
163,2,80
164,2,81
165,2,82
